,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation
52114,897972318546407424,Can the solar eclipse cause t-rstorms? @TWCErikaNavarro &amp; @TWCAlexWilson discussed if it's possible+the science beh… https://t.co/hJQ5xMg6BV,http://twitter.com/wunderground/statuses/897972318546407424,2017-08-17 00:04:18+00:00,original_tweet,wunderground,Weather Underground,15740491,480,390729,True,2008-08-05T19:28:25.000Z,"San Francisco, CA",video,['https://video.twimg.com/ext_tw_video/897971401218564098/pu/vid/320x180/Mm2JSoERRKcffinZ.mp4'],
52124,897973490543976449,Another humid night will be expected across deep south Texas featuring mostly clear to partly cloudy skies. #rgvwx… https://t.co/mrRmkZ2hql,http://twitter.com/NWSBrownsville/statuses/897973490543976449,2017-08-17 00:08:58+00:00,original_tweet,nwsbrownsville,NWS Brownsville,590190799,1181,7973,True,2012-05-25T17:57:42.000Z,"Brownsville, Texas",photo,['http://pbs.twimg.com/media/DHY9zUzVYAAwE6W.jpg'],
54496,897973763266023425,"Join us for a convo w/ #txlege's @SenBryanHughes &amp; @GaryVanDeaver, Aug. 30 at @TxkCollege. RSVP:… https://t.co/X99GwdTR4F",http://twitter.com/TexasTribune/statuses/897973763266023425,2017-08-17 00:10:03+00:00,original_tweet,texastribune,Texas Tribune,44513878,60572,148141,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DHY-YD9VwAIJXl5.jpg'],
54500,897974511735361537,Here is the plaque. It is false. But Tx Gov. Greg Abbott says we must keep it to remember our past.  #txlege… https://t.co/tE7IfQMqs5,http://twitter.com/davidmcswane/statuses/897974511735361537,2017-08-17 00:13:01+00:00,original_tweet,davidmcswane,J. David McSwane,16235644,639,2449,True,2008-09-11T07:02:26.000Z,"Austin, TX",photo,['http://pbs.twimg.com/media/DHY-OwHV0AEb_Cf.jpg'],
54501,897974857975058432,#Tornado  warnings continue for parts of Minnesota. A Tornado warning means a tornado is happening.  We are LIVE wi… https://t.co/NIW4Wl939w,http://twitter.com/WeatherNation/statuses/897974857975058432,2017-08-17 00:14:24+00:00,original_tweet,weathernation,WeatherNation,25531732,3851,128981,True,2009-03-20T16:42:05.000Z,,video,['https://video.twimg.com/ext_tw_video/897974577422192640/pu/vid/320x180/bcRZ2FtdqTVpSooT.mp4'],"Odessa, TX"
54504,897975033380974596,Take on the HotSeat! Learn how to issue severe weather warnings from the National Severe Storms Lab… https://t.co/yzdATq322h,http://twitter.com/NWSHouston/statuses/897975033380974596,2017-08-17 00:15:06+00:00,original_tweet,nwshouston,NWS Houston,600958397,349,24344,True,2012-06-06T13:13:19.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DHY_iFFXUAQ21t8.jpg'],
54507,897975490031517697,YOUR TAKE: What do you think of President Trump's comments on the violence in Charlottesville? VOTE HERE --&gt;… https://t.co/EmOF9bSNif,http://twitter.com/KHOU/statuses/897975490031517697,2017-08-17 00:16:55+00:00,original_tweet,khou,KHOU 11 News Houston,15791186,995,600071,True,2008-08-09T18:33:49.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DHY_8r7XcAAPnuQ.jpg'],
54508,897975495274319876,DEVELOPING: A tornado watch has been issued for parts of Minnesota until 10 p.m. central time. Keep an ear out for… https://t.co/mf0ltOdiuF,http://twitter.com/WeatherNation/statuses/897975495274319876,2017-08-17 00:16:56+00:00,original_tweet,weathernation,WeatherNation,25531732,3851,128981,True,2009-03-20T16:42:05.000Z,,photo,['http://pbs.twimg.com/media/DHY_8DwU0AA__9Q.jpg'],"Phoenix, AZ"
45913,897976391886569473,"Albert Peterson receives @HCSOTexas Civilian Lifesaving Award for saving an abandoned baby, honored along with more… https://t.co/DvO3goeCef",http://twitter.com/ElissaRivas13/statuses/897976391886569473,2017-08-17 00:20:30+00:00,original_tweet,elissarivas13,Elissa Rivas,289870616,9731,12385,False,2011-04-29T10:53:15.000Z,"Houston, TX",video,['https://video.twimg.com/ext_tw_video/897976236219056128/pu/vid/320x180/Vsx4yaM3WPmbqmOp.mp4'],
42483,897982017358397440,@HCSOTexas awards ceremony. Detention Deputy Augustine makes the best gumbo around &amp; I'm smiling cause she promised… https://t.co/ive0W7vP07,http://twitter.com/SheriffEd_HCSO/statuses/897982017358397440,2017-08-17 00:42:51+00:00,original_tweet,sheriffed_hcso,Ed Gonzalez,17756893,4859,7394,False,2008-11-30T16:30:29.000Z,"Harris County, TX",photo,['http://pbs.twimg.com/media/DHZF4ZKU0AEXqIX.jpg'],
38652,897983840634810368,Follow us on Snapchat today to see what Gov. @GregAbbott_TX thinks about the end of the special session:… https://t.co/21v05i0YGO,http://twitter.com/TexasTribune/statuses/897983840634810368,2017-08-17 00:50:05+00:00,original_tweet,texastribune,Texas Tribune,44513878,60571,148143,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DHZHh12UwAAWW8b.jpg'],
38650,897983900416266240,"TORNADO WARNING just SW of Minneapolis, MN w/ strong rotation near Prior Lake heading toward Shakopee, Chanhassen!… https://t.co/dQNwXNGZt7",http://twitter.com/ReedTimmerAccu/statuses/897983900416266240,2017-08-17 00:50:20+00:00,original_tweet,reedtimmeraccu,Reed Timmer,22035690,23576,303345,False,2009-02-26T17:32:59.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHZHlj0U0AEid3i.jpg'],
38654,897984244626198529,"Well, rhetorically, Texas hasn't changed much since it officially joined the Confederacy. #txlege… https://t.co/ddOYys6xi0",http://twitter.com/davidmcswane/statuses/897984244626198529,2017-08-17 00:51:42+00:00,original_tweet,davidmcswane,J. David McSwane,16235644,640,2449,True,2008-09-11T07:02:26.000Z,"Austin, TX",photo,['http://pbs.twimg.com/media/DHZH19VVoAELa9H.jpg'],
38655,897984360586129408,We made #nutrition&amp; #physicalactivity fun at The Rhodes School in Humble. Hope u learned lots abt #eatinghealthy &amp;… https://t.co/TGB0q01d34,http://twitter.com/hcphtx/statuses/897984360586129408,2017-08-17 00:52:09+00:00,original_tweet,hcphtx,Harris County PH,143092332,1300,1590,False,2010-05-12T15:26:29.000Z,"Harris County, Texas",photo,"['http://pbs.twimg.com/media/DHZH-4-VwAAvlog.jpg', 'http://pbs.twimg.com/media/DHZH-4_UwAA4rLS.jpg', 'http://pbs.twimg.com/media/DHZH-4WVYAASFPe.jpg', 'http://pbs.twimg.com/media/DHZH-4UUAAA9eqA.jpg']",
107170,897989532347375616,Tonight @HCSOTexas recognizes Good Samaritan Albert Peterson. The man who recently found a newborn baby covered in… https://t.co/3apQGG5VHk,http://twitter.com/SheriffEd_HCSO/statuses/897989532347375616,2017-08-17 01:12:43+00:00,original_tweet,sheriffed_hcso,Ed Gonzalez,17756893,4860,7395,False,2008-11-30T16:30:29.000Z,"Harris County, TX",photo,['http://pbs.twimg.com/media/DHZMqSGUQAE3lv-.jpg'],
107171,897989673896648704,Three #tropical waves in the eastern Atlantic each have a chance to develop into a tropical storm in the days ahead… https://t.co/OQw64Ly4gu,http://twitter.com/weatherchannel/statuses/897989673896648704,2017-08-17 01:13:16+00:00,original_tweet,weatherchannel,The Weather Channel,20998647,6335,2899082,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHZM2UVV0AAvYIJ.jpg'],
107175,897990118312615936,Texans may be able to buy medical cannabis oil by January – two and a half years after @GregAbbott_TX legalized it… https://t.co/BbgTyBsBxR,http://twitter.com/TexasTribune/statuses/897990118312615936,2017-08-17 01:15:02+00:00,original_tweet,texastribune,Texas Tribune,44513878,60571,148144,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DHZNQFOUMAAl-Z2.jpg'],
109246,897991397571264512,Two babies are recovering in the hospital after being treated by Border Patrol agents near the Rio Grande.… https://t.co/4eaZspVUXS,http://twitter.com/krgv/statuses/897991397571264512,2017-08-17 01:20:07+00:00,original_tweet,krgv,KRGV CHANNEL 5 NEWS,17288391,296,90743,False,2008-11-10T15:31:41.000Z,"Weslaco, Texas, US",photo,['http://pbs.twimg.com/media/DHZOanmXsAEYCag.jpg'],
