,id,link,created_at,tweet_type,user.screen_name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,hrisk_img,relevant,forecast,trop-out,cone,arrival,prob,surge,key-msg,ww,threat-impact,conv-out,meso-disc,rain-fore,rain-out,riv-flood,spag,text-img,model,evac,other-fore,other-non-fore,video,ww_exp,ww_cone,ww_md,official,unofficial,spanish,image_count,text,user.name
0,897989673896648704,http://twitter.com/weatherchannel/statuses/897989673896648704,2017-08-17 01:13:16+00:00,original_tweet,weatherchannel,20998647,6335,2899082,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHZM2UVV0AAvYIJ.jpg'],,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,1,Three #tropical waves in the eastern Atlantic each have a chance to develop into a tropical storm in the days ahead… https://t.co/OQw64Ly4gu,The Weather Channel
1,898086643952963585,http://twitter.com/JimCantore/statuses/898086643952963585,2017-08-17 07:38:36+00:00,original_tweet,jimcantore,21388284,2140,915631,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,photo,"['http://pbs.twimg.com/media/DHalCUrUQAA4nlT.jpg', 'http://pbs.twimg.com/media/DHalCUuUQAAHiX1.jpg', 'http://pbs.twimg.com/media/DHalCUxUMAEtqRU.jpg']",,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,2,3 areas of interest moving west across tropical Atlantic MDR w/below average instability.  Saharan Air Layer still… https://t.co/xMasydCln3,Jim Cantore
2,898087320435527680,http://twitter.com/JimCantore/statuses/898087320435527680,2017-08-17 07:41:17+00:00,original_tweet,jimcantore,21388284,2140,915631,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,photo,"['http://pbs.twimg.com/media/DHalpuGV0AAHdNz.jpg', 'http://pbs.twimg.com/media/DHalpuDVoAAYb3i.jpg']",,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,2,Lead wave #91L has the best chance of developing in the short term given atmospherics. Also outlined as such per nh… https://t.co/LfqocWmkOq,Jim Cantore
3,898163768571576321,http://twitter.com/weatherchannel/statuses/898163768571576321,2017-08-17 12:45:04+00:00,original_tweet,weatherchannel,20998647,6335,2899857,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHbrL8ZU0AA6qBX.jpg'],,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,1,"A #tropical depression is likely to form soon, tracking into the Windward Islands, then Caribbean Sea. #91L… https://t.co/ShVBJ6lmwb",The Weather Channel
4,898167575464603650,http://twitter.com/NHC_Atlantic/statuses/898167575464603650,2017-08-17 13:00:11+00:00,original_tweet,nhc_atlantic,299798272,0,265257,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHbuj6JXYAANFpw.jpg'],,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,1,USAF Hurricane Hunter to investigate low pressure #91L this afternoon. High chance of tropical cyclone development.… https://t.co/p1cDhRRZX5,NHC Atlantic Ops
5,898168436945190913,http://twitter.com/NHC_Atlantic/statuses/898168436945190913,2017-08-17 13:03:37+00:00,original_tweet,nhc_atlantic,299798272,0,265259,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,"['http://pbs.twimg.com/media/DHbvCY8XgAAa5Jt.jpg', 'http://pbs.twimg.com/media/DHbvCZcW0AEGHON.jpg']",,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1,NHC closely watching 3 tropical disturbances over Atlantic basin in addition to Hurricane Gert.… https://t.co/Mg55sbvWlR,NHC Atlantic Ops
6,898173343496511488,http://twitter.com/weatherchannel/statuses/898173343496511488,2017-08-17 13:23:07+00:00,original_tweet,weatherchannel,20998647,6335,2899914,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHbz5OKU0AE1zgP.jpg'],,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,2,It's been 45 years since we had at least an Atl. #tropical depression + total solar #eclipse. Perhaps 2 Monday?… https://t.co/zVdYIMMznN,The Weather Channel
7,898194416728506371,http://twitter.com/NHC_Atlantic/statuses/898194416728506371,2017-08-17 14:46:51+00:00,original_tweet,nhc_atlantic,299798272,0,265300,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHcHCmbW0AAF3X_.jpg'],,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,2,Tropical Storm Warning in effect for portions of the Windward Islands for Potential Tropical Cyclone #Nine… https://t.co/nsWjjGQ80f,NHC Atlantic Ops
8,898194762653741056,http://twitter.com/BrooksKHOU/statuses/898194762653741056,2017-08-17 14:48:13+00:00,original_tweet,brookskhou,28857255,1428,10479,True,2009-04-04T19:48:42.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DHcHX4KUwAAfCEI.jpg'],,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,2,The NHC is issuing advisories on what they expect to become a tropical cyclone later today. Harvey is the next name… https://t.co/dwOowzLjK8,Brooks Garner
9,898200682791976960,http://twitter.com/weatherchannel/statuses/898200682791976960,2017-08-17 15:11:45+00:00,original_tweet,weatherchannel,20998647,6335,2900073,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHcMwqFV0AA9Smq.jpg'],,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,1,Potential Tropical Cyclone Nine is heading toward the Windward Islands. Tropical storm watches and warnings issued:… https://t.co/9RINJS9mHT,The Weather Channel
