,Unnamed: 0,Unnamed: 0.1,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc,hrisk_img,relevant,forecast,trop-out,cone,arrival,prob,surge,key-msg,ww,threat-impact,conv-out,meso-disc,rain-fore,rain-out,riv-flood,spag,text-img,model,evac,other-fore,other-non-fore,video,ww_exp,ww_cone,ww_md,official,unofficial,spanish
0,31,31,900077824589131777,"Extremely heavy rain forecast for East Texas next 7 days, easily 6"" & prob a lot more from poss Hurricane #Harvey:… https://t.co/MoNa8sL81B",http://twitter.com/capitalweather/statuses/900077824589131777,2017-08-22 19:30:50+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,959795,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DH232YiXsAAMWtM.jpg'],,900077824589131,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
1,35,35,900392084733128709,"#Harvey forecast to hit Texas Friday & stall. Incredible rain amounts poss, even 20""+. Houston in path. More info:… https://t.co/dFbXoz9qhy",http://twitter.com/capitalweather/statuses/900392084733128709,2017-08-23 16:19:36+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960273,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DH7U4RrXkAE8_l6.jpg'],,900392084733128,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
3,42,42,900760830408630273,"Incredible: GFS model projects #Harvey to stall over E Texas for 5 days, thru Wed, unloading 15-30"" of rain.… https://t.co/owCG15j4ra",http://twitter.com/capitalweather/statuses/900760830408630273,2017-08-24 16:44:51+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960817,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIAlEZHWAAEd-DO.jpg'],,900760830408630,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
4,43,43,900763179931848704,Flood disaster in the making? GFS model simulates #Harvey stalled for 5 days over Texas: https://t.co/H2pt4VJ0ty https://t.co/nLhzLs73cH,http://twitter.com/capitalweather/statuses/900763179931848704,2017-08-24 16:54:12+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960818,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIAnP-IWAAEDa8i.mp4'],,900763179931848,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
6,45,45,900773834089017344,"Projection of 300,000 customers without power in Texas due to #Harvey from several academics:… https://t.co/ao5eOY8XYv",http://twitter.com/capitalweather/statuses/900773834089017344,2017-08-24 17:36:32+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960844,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIAw44mWsAEoiTi.jpg'],,900773834089017,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no
7,46,46,900782734267875329,"2p update from NHC: #Harvey's winds up to 85 mph, forecast to make landfall w/ 125 mph winds, high Cat 3:… https://t.co/Xd5NGk2gHt",http://twitter.com/capitalweather/statuses/900782734267875329,2017-08-24 18:11:54+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960864,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIA5F8rWsAEMePW.jpg'],,900782734267875,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no
8,47,47,900789862755958786,"Potential flood disaster: Like GFS, European model forecasts large area 17-32"" of rain thru Wed in eastern Texas.… https://t.co/FN0Z9yaUcZ",http://twitter.com/capitalweather/statuses/900789862755958786,2017-08-24 18:40:13+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960891,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIA_NYOW0AU5Ffu.jpg'],,900789862755958,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
9,50,50,900922907890790400,The Weather Service had to add new color to rainfall map to convey incredible amounts poss from #Harvey:… https://t.co/JM2OA7AAxG,http://twitter.com/capitalweather/statuses/900922907890790400,2017-08-25 03:28:54+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961160,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIC4ljlXUAA1PWE.jpg'],,900922907890790,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
10,52,52,901056381922533382,Dire language from Weather Service office in Corpus Christi regarding effects from #Harvey: https://t.co/0amm43GlGS https://t.co/haUimebmTG,http://twitter.com/capitalweather/statuses/901056381922533382,2017-08-25 12:19:16+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961409,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIEx-4qXoAAz8tI.jpg'],,901056381922533,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no
12,56,56,901086946499362816,"Coastal Texas should know risk of ""compound flooding"" from days of storm surge & 15-25"" rain. Massive water buildup… https://t.co/MXT9wFljcJ",http://twitter.com/capitalweather/statuses/901086946499362816,2017-08-25 14:20:44+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961497,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIFNyC2WAAQe_oX.jpg'],,901086946499362,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
17,63,63,901135063911366657,"Scary, close-up @WeatherBell map of GFS model rainfall forecast for region around Houston. More on #Harvey:… https://t.co/1NPQu8VmO7",http://twitter.com/capitalweather/statuses/901135063911366657,2017-08-25 17:31:56+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961588,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIF5WmfXsAEGNtk.jpg'],,901135063911366,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
