,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc
101592,898228880095547394,Cloud forecast from the GFS model. Clouds are shown in blue.  Our #SolarEclipse forecast: https://t.co/fHLUUGsodx https://t.co/tuAoQD3yJZ,http://twitter.com/capitalweather/statuses/898228880095547394,2017-08-17 17:03:47+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1325,956811,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DHcmZVxXkAAcBzk.jpg'],,898228880095547
8613,898245972299575296,It's raining in DC again. Surprised? Not at all. This is our life now. https://t.co/2fREewV3Zd,http://twitter.com/capitalweather/statuses/898245972299575296,2017-08-17 18:11:43+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1325,956839,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DHc18UJW0AAENwf.mp4'],,898245972299575
8635,898247671843926016,Fire Inspector on the roof @memorialhermann checking permits and safety measures while roof workers make repairs.… https://t.co/3sAU4nauwN,http://twitter.com/cohoustonfire/statuses/898247671843926016,2017-08-17 18:18:28+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,287,18360,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,"['http://pbs.twimg.com/media/DHc3YXuUwAA4th7.jpg', 'http://pbs.twimg.com/media/DHc3ZneU0AA_RIX.jpg', 'http://pbs.twimg.com/media/DHc3b6tUAAAUFV6.jpg', 'http://pbs.twimg.com/media/DHc3d4gVwAAKFys.jpg']",,898247671843926
28547,898257209896747009,"For people who got #solareclipse glasses on Amazon and are worried about legitimacy, they may be okay! Put them on… https://t.co/imOzI0myit",http://twitter.com/capitalweather/statuses/898257209896747009,2017-08-17 18:56:22+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1325,956863,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DHdAHhNXgAEjvyp.jpg'],,898257209896747
65087,898267032218730497,We built a @Spotify playlist for the solar eclipse: https://t.co/XCm9Atakts What songs would you suggest? https://t.co/klfCd21PT9,http://twitter.com/capitalweather/statuses/898267032218730497,2017-08-17 19:35:24+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1325,956862,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DHdJD_nWAAEFb3T.mp4'],,898267032218730
7709,898534283702288386,"Yes, go on and tell me more about how you're fixing property taxes, lawmakers. Really good story by @JulieChang1 —… https://t.co/Sd20pzZkOE",http://twitter.com/ndhapple/statuses/898534283702288386,2017-08-18 13:17:21+00:00,original_tweet,ndhapple,Nolan Hicks,16661097,710,3854,False,2008-10-09T02:55:10.000Z,"Austin, TX",photo,['http://pbs.twimg.com/media/DHg8KgNXgAYKPWG.jpg'],,898534283702288
109324,898587715695857664,This is what the sun looks like through a pair of good #solareclipse glasses. Thanks @wolfpackwx! https://t.co/2zenVkkCxh,http://twitter.com/capitalweather/statuses/898587715695857664,2017-08-18 16:49:41+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1325,957395,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DHhssfcWAAAXEDi.jpg'],,898587715695857
68589,898619506976804866,"Storms are tracking SW to NE today, will slowly drift east into D.C. Metro over next few hours. https://t.co/atRM9peR7Q",http://twitter.com/capitalweather/statuses/898619506976804866,2017-08-18 18:56:00+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,957415,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DHiJps8XYAU8ndW.mp4'],,898619506976804
25313,898629252647534593,Storms are moving closer to the Beltway but so far none of them are severe. https://t.co/Sl7pabLRY7,http://twitter.com/capitalweather/statuses/898629252647534593,2017-08-18 19:34:44+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,957434,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DHiSh1zXcAEdgMD.mp4'],,898629252647534
2097,898653065502277632,"Storms have arrived in the immediate metro. Flash flooding, strong wind gusts possible! Keep an eye on it tonight. https://t.co/DG7gTVfts8",http://twitter.com/capitalweather/statuses/898653065502277632,2017-08-18 21:09:21+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,957463,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DHioMpGWAAAbKkR.jpg'],,898653065502277
83825,898667549356720128,Lots of thunder and lightning plus very heavy rain in the storms impacting the immediate area. https://t.co/3seBWC90Oy,http://twitter.com/capitalweather/statuses/898667549356720128,2017-08-18 22:06:54+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,957488,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DHi1T_XXsAAko9c.mp4'],,898667549356720
80779,898670271049191424,Very heavy rain in spots that have seen a ton lately. Some flash flooding is likely in DC and surrounds. https://t.co/Au6CXGUnHr,http://twitter.com/capitalweather/statuses/898670271049191424,2017-08-18 22:17:43+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,957480,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DHi317xXsAAD8CN.jpg'],,898670271049191
72450,898679850872971264,Rain is winding down locally as the storm line pushes away. Should mostly end in the next 30-60 minutes. https://t.co/Xdz0U4JDoj,http://twitter.com/capitalweather/statuses/898679850872971264,2017-08-18 22:55:47+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,957512,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DHjAjnAXsAAPdLh.jpg'],,898679850872971
