,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,link,created_at,tweet_type,user.screen_name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,hrisk_img,relevant,forecast,text,user.name,id.trunc
0,0,0,0.0,897989673896648704,http://twitter.com/weatherchannel/statuses/897989673896648704,2017-08-17 01:13:16+00:00,original_tweet,weatherchannel,20998647,6335,2899082,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHZM2UVV0AAvYIJ.jpg'],,yes,yes,yes,Three #tropical waves in the eastern Atlantic each have a chance to develop into a tropical storm in the days ahead… https://t.co/OQw64Ly4gu,The Weather Channel,
1,1,1,1.0,898010247364616192,http://twitter.com/TTrogdon/statuses/898010247364616192,2017-08-17 02:35:01+00:00,original_tweet,ttrogdon,525249617,1024,2787,False,2012-03-15T10:38:49.000Z,"Miami, FL",animated_gif,['https://video.twimg.com/tweet_video/DHZffOSWAAA3f-R.mp4'],,yes,no,no,"Beautiful hurricane Gert pinwheeling over the open Atlantic waters, again proving how difficult intensity forecasts… https://t.co/TJSN5jlfkk",Taylor Trogdon,
2,2,2,2.0,898038437428826112,http://twitter.com/breakingweather/statuses/898038437428826112,2017-08-17 04:27:02+00:00,original_tweet,breakingweather,19071682,2013,843049,True,2009-01-16T15:43:35.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DHZ5MtJUAAEzHZC.jpg'],,yes,no,no,"Despite moving out to sea, #Gert will stir rough surf from Massachusetts to Nova Scotia on Thu. Coastal advisories:… https://t.co/hcws9pj10d",AccuWeather,
3,3,3,3.0,898086643952963585,http://twitter.com/JimCantore/statuses/898086643952963585,2017-08-17 07:38:36+00:00,original_tweet,jimcantore,21388284,2140,915631,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,photo,"['http://pbs.twimg.com/media/DHalCUrUQAA4nlT.jpg', 'http://pbs.twimg.com/media/DHalCUuUQAAHiX1.jpg', 'http://pbs.twimg.com/media/DHalCUxUMAEtqRU.jpg']",,yes,yes,yes,3 areas of interest moving west across tropical Atlantic MDR w/below average instability.  Saharan Air Layer still… https://t.co/xMasydCln3,Jim Cantore,
4,4,4,4.0,898087320435527680,http://twitter.com/JimCantore/statuses/898087320435527680,2017-08-17 07:41:17+00:00,original_tweet,jimcantore,21388284,2140,915631,True,2009-02-20T10:43:41.000Z,Location: Up to mother nature,photo,"['http://pbs.twimg.com/media/DHalpuGV0AAHdNz.jpg', 'http://pbs.twimg.com/media/DHalpuDVoAAYb3i.jpg']",,yes,yes,yes,Lead wave #91L has the best chance of developing in the short term given atmospherics. Also outlined as such per nh… https://t.co/LfqocWmkOq,Jim Cantore,
5,5,5,5.0,898163768571576321,http://twitter.com/weatherchannel/statuses/898163768571576321,2017-08-17 12:45:04+00:00,original_tweet,weatherchannel,20998647,6335,2899857,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHbrL8ZU0AA6qBX.jpg'],,yes,yes,yes,"A #tropical depression is likely to form soon, tracking into the Windward Islands, then Caribbean Sea. #91L… https://t.co/ShVBJ6lmwb",The Weather Channel,
6,6,6,6.0,898167575464603650,http://twitter.com/NHC_Atlantic/statuses/898167575464603650,2017-08-17 13:00:11+00:00,original_tweet,nhc_atlantic,299798272,0,265257,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DHbuj6JXYAANFpw.jpg'],,yes,yes,yes,USAF Hurricane Hunter to investigate low pressure #91L this afternoon. High chance of tropical cyclone development.… https://t.co/p1cDhRRZX5,NHC Atlantic Ops,
7,7,7,7.0,898168436945190913,http://twitter.com/NHC_Atlantic/statuses/898168436945190913,2017-08-17 13:03:37+00:00,original_tweet,nhc_atlantic,299798272,0,265259,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,"['http://pbs.twimg.com/media/DHbvCY8XgAAa5Jt.jpg', 'http://pbs.twimg.com/media/DHbvCZcW0AEGHON.jpg']",,yes,yes,yes,NHC closely watching 3 tropical disturbances over Atlantic basin in addition to Hurricane Gert.… https://t.co/Mg55sbvWlR,NHC Atlantic Ops,
8,8,8,8.0,898173343496511488,http://twitter.com/weatherchannel/statuses/898173343496511488,2017-08-17 13:23:07+00:00,original_tweet,weatherchannel,20998647,6335,2899914,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DHbz5OKU0AE1zgP.jpg'],,yes,yes,yes,It's been 45 years since we had at least an Atl. #tropical depression + total solar #eclipse. Perhaps 2 Monday?… https://t.co/zVdYIMMznN,The Weather Channel,
9,9,9,9.0,898180440074457088,http://twitter.com/mattlanza/statuses/898180440074457088,2017-08-17 13:51:18+00:00,original_tweet,mattlanza,16752675,4135,10292,True,2008-10-15T02:25:36.000Z,"Houston, TX",animated_gif,['https://video.twimg.com/tweet_video/DHb54zLUMAA4HYK.mp4'],,yes,yes,no,"Curious if anyone has thoughts on the upper low/wave feature N of Hispaniola. Not going to develop anytime soon, bu… https://t.co/bIBY7seZA9",Matt Lanza,
